shapeid;file_name;parcel;bldg_no;sc_lev;z_dem;z_top_tun;overburden;depth_fond;z_fondatio;overburde2;d_min_rang;angle_bldg;stories_un;stories_ov;nb_de_nive;lift_no;footprint;height_ove;comments;pk_min;pk_max;d_min;d_max
25;94002AF0034_01_SEN_ind01.pdf;94002AF0034;1;2;35;5;30;0;NULL;non dtermin;30m < D <= 40m;entre 60 et 90;Non dtermin;1;1;NULL;11 X 9;6;NULL;2124707.396;2124725.879;-19.56632172;-8.507111541
26;94002AE0083_01_SEN_ind01.pdf;94002AE0083;1;1;35;5;30;3;32;27;Au dessus de l'axe;entre 60 et 90;1;1;NULL;NULL;10 X 9;6;NULL;2124861.186;2124872.212;20.0106533;32.71259531
27;94002AE0101_01_SEN_ind01.pdf;94002AE0101;1;2;35;5;30;3;32;27;10m < D <= 20m;entre 60 et 90;1;1;1;NULL;12 X 10;7;NULL;2124854.438;2124866.382;-14.99962963;-3.851784816
28;94002AF0035_01_SEN_ind01.pdf;94002AF0035;1;2;35;5;30;3;32;27;40m < D <= 50m;entre 60 et 90;1;1;0;0;9 X 9;5;NULL;2124712.561;2124724.907;-27.92166375;-17.71246325
29;94002AJ0086_01_SEN_ind01.pdf;94002AJ0086;1;1;35;5;30;3;32;27;Au dessus de l'axe;entre 60 et 90;1;1;1;NULL;15 X 6;7;NULL;2125021.451;2125029.649;-9.089414229;2.49546778
30;94002AJ0085_03_SEN_ind01.pdf;94002AJ0085;3;3;35;5;30;3;32;27;0m < D <= 10m;entre 60 et 90;1;1;0;0;20 X 11;7;NULL;2125042.332;2125058.237;-29.98831249;-10.57053126
31;94002AF0137_01_SEN_ind01.pdf;94002AF0137;1;1;35;5;30;1;34;29;Au-dessus de l'axe;<30;1;0;1;0;10 X 7;6;NULL;2124555.375;2124563.124;16.7956058;26.18721984
32;94002AF0055_01_SEN_ind01.pdf;94002AF0055;1;1;35;5;30;0;35;30;0m < D <= 10m;<30;0;1;1;0;10 X 10;5;NULL;2124588.03;2124598.795;13.02703891;25.40540273
33;94002AF0054_01_SEN_ind01.pdf;94002AF0054;1;1;35;5;30;0;35;30;0m < D <= 10m;<30;0;1;1;0;10 X 10;5;NULL;2124598.062;2124608.936;11.5847975;21.23386088
34;94002AJ0016_01_SEN_ind01.pdf;94002AJ0016;1;1;35;5;30;8;27;22;10m < D <= 20m;entre 30 et 60;2;4;NULL;2;40 X 12;16;NULL;2125129.597;2125168.632;14.28479198;44.39549985
35;94002AE0091_01_SEN_ind01.pdf;94002AE0091;1;1;35;5;30;0;NULL;non dtermin;40m < D <= 50m;entre 60 et 90;Non dtermin;1;NULL;NULL;20 X 18;6;NULL;2124856.262;2124865.32;-47.8004081;-26.3674901
36;94002AE0100_01_SEN_ind01.pdf;94002AE0100;1;1;35;5;30;1;34;29;10m < D <= 20m;<30;1;1;0;NULL;11 X 11;7;NULL;2124843.85;2124855.504;-13.04204004;-1.772778346
37;94002AJ0085_02_SEN_ind01.pdf;94002AJ0085;2;3;35;5;30;0;35;30;0m < D <= 10m;entre 60 et 90;0;0;0;0;30 X 6;3;NULL;2125030.251;2125049.435;-44.76141137;-15.46292031
38;94002AF0155_01_SEN_ind01.pdf;94002AF0155;1;2;35;5;30;3;32;27;40m < D <= 50m;entre 60 et 90;1;2;0;0;10 X 10;6;NULL;2124585.29;2124597.651;-27.96487001;-17.45650966
39;94002AF0128_01_SEN_ind01.pdf;94002AF0128;1;1;35;5;30;0;35;30;0m < D <= 10m;entre 30 et 60;0;2;0;0;11 X 10;8;NULL;2124565.993;2124575.989;17.12566612;25.72742945
40;94002AJ0131_01_SEN_ind01.pdf;94002AJ0131;1;1;34;5;29;5;29;24;30m < D <= 40m;entre 30 et 60;1;4;NULL;1;60 X 40;15;NULL;2125086.773;2125125.56;38.50413655;92.60893674
41;94002AE0085_01_SEN_ind01.pdf;94002AE0085;1;1;35;5;30;2;33;28;Au dessus de l'axe;entre 60 et 90;1;0;1;0;11 X 10;5;NULL;2124846.335;2124856.023;12.2701185;29.35430054
42;94002AF0033_01_SEN_ind01.pdf;94002AF0033;1;1;35;5;30;0;35;30;10m < D <= 20m;NULL;0;2;0;0;11 X 7;8;NULL;2124721.665;2124732.349;-1.445828518;7.007145798
43;94002AJ0061_01_SEN_ind01.pdf;94002AJ0061;1;1;35;5;30;4;31;26;30m < D <= 40m;entre 60 et 90;1;5;NULL;2;45 X 30;20;NULL;2125161.965;2125177.905;-55.29309256;-39.55044283
44;94002AE0087_01_SEN_ind01.pdf;94002AE0087;1;1;35;5;30;1;34;29;Au dessus de l'axe;entre 60 et 90;1;0;1;NULL;11 X 10;5;NULL;2124829.686;2124840.648;14.44338956;23.65507788
45;94002AF0051_01_SEN_ind01.pdf;94002AF0051;1;1;35;5;30;0;NULL;non dtermin;30m < D <= 40m;<30;Non dtermin;1;1;NULL;12 X 9;6;NULL;2124609.285;2124622.713;-19.22710438;-3.434831932
46;94002AF0125_01_SEN_ind01.pdf;94002AF0125;1;1;35;5;30;1;34;29;20m < D <= 30m;<30;1;2;1;NULL;11 X 9;7;NULL;2124716.49;2124727.269;-9.694199612;0.644510907
47;94002AJ0101_01_SEN_ind01.pdf;94002AJ0101;1;2;34;5;29;3;31;26;Au dessus de l'axe;entre 60 et 90;1;1;NULL;NULL;15 X 15;5;NULL;2125034.633;2125049.474;-4.980824353;8.268677872
48;94002AF0051_02_SEN_ind01.pdf;94002AF0051;2;1;35;5;30;0;NULL;non dtermin;40m < D <= 50m;<30;Non dtermin;1;1;NULL;7 X 7;6;NULL;2124608.215;2124614.494;-30.56774914;-20.80149724
49;94046BI0036_01_SEN_ind01.pdf;94046BI0036;1;3;35;5;30;3;32;27;Au dessus de l'axe;entre 60 et 90;1;1;1;0;20 X 10;5;NULL;2124434.658;2124442.557;14.43750266;21.88422816
50;94046BI0001_04_SEN_ind02.pdf;94046BI0001;4;2;NULL;ND2;ND3;0;NULL;ND6;ND7;ND8;NULL;ND10;ND11;ND12;NULL;7;ND15;2124329.925;2124362.712;31.45578549;49.57431711
51;94046BI0001_05_SEN_ind02.pdf;94046BI0001;5;2;NULL;ND2;ND3;0;NULL;ND6;ND7;ND8;NULL;ND10;ND11;ND12;NULL;7;ND15;2124334.435;2124367.85;-27.4592608;-9.462112317
52;940760V0180_01_SEN_ind01.pdf;940760V0180;1;1;99;75;24;0;99;24;30m < D <= 40m;entre 60 et 90;0;0;0;0;9 X 6;3;NULL;2129886.86;2129893.615;28.41013157;33.78131141
54;940760V0313_01_SEN_ind01.pdf;940760V0313;1;2;100;75;25;5;95;20;20m < D <= 30m;entre 60 et 90;2;10;0;1;21 X 17;30;NULL;2129935.691;2129970.344;22.98577979;48.52964707
55;940760V0152_01_SEN_ind01.pdf;940760V0152;1;1;100;75;25;6;94;19;40m < D <= 50m;entre 60 et 90;2;8;0;1;12 X 10;25;NULL;2129936.717;2129948.997;48.38048345;61.47706519
56;94076BC0161_01_SEN_ind01.pdf;94076BC0161;1;1;100;66;34;2;98;32;Au dessus de l'axe;entre 60 et 90;1;0;1;0;11 X 10;10;/;2129576.187;2129587.925;-8.151350094;3.132904363
57;940760U0174_01_SEN_ind01.pdf;940760U0174;1;1;100;72;28;2;98;26;10m < D <= 20m;entre 60 et 90;1;0;1;0;10 X 9;4;NULL;2129757.967;2129770.147;7.396397086;18.10679367
58;940760U0170_01_SEN_ind01.pdf;940760U0170;1;1;100;72;28;2;98;26;10m < D <= 20m;<30;1;0;1;0;9 X 8;4;NULL;2129736.516;2129760.038;5.800469827;16.95886303
59;94076BC0101_01_SEN_ind01.pdf;94076BC0101;1;1;100;64;36;2;98;34;10m < D <= 20m;entre 60 et 90;1;0;1;0;12 X 8;5;NULL;2129541.231;2129549.646;5.135452685;16.63430027
60;940760U0180_01_SEN_ind01.pdf;940760U0180;1;3;100;66;34;2;98;32;10m < D <= 20m;<30;1;4;0;0;72 X 10;15;NULL;2129552.033;2129624.22;20.38290765;48.7109724
61;94076BC0004_02_SEN_ind01.pdf;94076BC0004;2;1;99;62;37;0;99;37;30m < D <= 40m;entre 60 et 90;0;0;0;0;7 X 2;3;NULL;2129485.354;2129493.798;27.46616834;41.46440252
62;94076BC0007_02_SEN_ind01.pdf;94076BC0007;2;2;98;60;38;0;98;38;30m < D <= 40m;<30;0;0;0;0;6 X 3;2;NULL;2129456.217;2129470.958;-21.86487814;-15.44646581
64;940760U0139_01_SEN_ind01.pdf;940760U0139;1;1;100;68;32;2;98;30;10m < D <= 20m;<30;1;1;0;0;11 X 9;6;NULL;2129632.226;2129641.109;14.38583407;25.53498231
65;940760U0167_01_SEN_ind01.pdf;940760U0167;1;1;100;74;26;2;98;24;20m < D <=30m;<30;1;0;1;0;12 X 9;4;NULL;2129787.347;2129800.509;14.90698919;23.63131101
66;94076BC0181_01_SEN_ind01.pdf;94076BC0181;1;1;100;64;36;1;99;35;Au dessus de l'axe;entre 60 et 90;1;0;2;0;13 X 10;4;NULL;2129566.243;2129577.737;-3.950196541;8.638364082
68;94076BC0022_01_SEN_ind01.pdf;94076BC0022;1;1;99;62;37;0;99;37;20m < D <= 30m;entre 60 et 90;0;1;1;0;8 X 8;5;/;2129514.831;2129523.184;12.24840651;20.63679029
70;94076BC0126_01_SEN_ind01.pdf;94076BC0126;1;1;98;60;38;0;98;38;Au dessus de l'axe;entre 60 et 90;0;1;1;0;11 X 10;9;/;2129459.017;2129470.418;-0.616899221;10.94320736
71;94076BC0177_01_SEN_ind01.pdf;94076BC0177;1;1;100;66;34;0;100;34;Au dessus de l'axe;entre 60 et 90;0;2;1;0;14 X 10;11;/;2129586.606;2129597.283;-10.56683366;3.541050572
72;94076BC0217_01_SEN_ind01.pdf;94076BC0217;1;1;100;68;32;1;99;31;10m < D <= 20m;entre 60 et 90;prsence d'un sous-sol non visible;0;1;0;11 X 9;4;NULL;2129633.929;2129644.034;-21.74652537;-9.981403837
74;940760V0281_01_SEN_ind01.pdf;940760V0281;1;1;100;74;26;3;97;23;20m < D <=30m;entre 60 et 90;1;1;0;0;11 X 7;3;NULL;2129839.947;2129846.487;21.29647435;32.32147858
75;94076BC0125_01_SEN_ind01.pdf;94076BC0125;1;2;98;60;38;0;98;38;Au dessus de l'axe;entre 60 et 90;0;1;1;0;11 X 10;6;Combles amnags;2129457.426;2129469.4;-10.6352628;1.024432787
76;940760V0313_03_SEN_ind01.pdf;940760V0313;3;1;100;75;25;5;95;20;20m < D <= 30m;<30;2;2;0;0;9 X 7;8;NULL;2129976.245;2129998.462;22.55376854;37.19168825
77;94076BC0031_01_SEN_ind01.pdf;94076BC0031;1;1;100;66;34;2;98;32;10m < D <= 20m;<30;1;1;1;0;11 X 9;6;/;2129615.834;2129624.95;-8.589246325;-1.656861973
78;940760U0176_01_SEN_ind01.pdf;940760U0176;1;1;100;74;26;0;NULL;non dtermin;10m < D <= 20m;<30;Non dtermin (btiment ferm);0;1;0;10 X 7;7;NULL;2129774.892;2129787.65;13.97571191;24.48808515
80;94076BC0183_01_SEN_ind01.pdf;94076BC0183;1;1;99;62;37;1;98;36;10m < D <= 20m;entre 60 et 90;1;0;1;0;9 X 7;5;NULL;2129506.24;2129514.628;12.60995471;21.5008636
81;94076BC0205_01_SEN_ind01.pdf;94076BC0205;1;1;98;60;38;2;96;36;20m < D <= 30m;<30;1;1;0;0;8 X 7;6;NULL;2129461.759;2129470.306;22.69023467;32.11773254
82;940760U0138_01_SEN_ind01.pdf;940760U0138;1;1;100;68;32;2;98;30;10m < D <= 20m;entre 60 et 90;1;0;1;0;17 X 8;5;NULL;2129640.349;2129649.172;7.111058859;24.19301038
83;940760U0033_01_SEN_ind01.pdf;940760U0033;1;1;100;70;30;0;100;30;10m < D <= 20m;entre 60 et 90;0;1;0;0;10 X 9;7;NULL;2129686.041;2129699.07;-19.69225191;-7.5339688
85;94076BC0008_01_SEN_ind01.pdf;94076BC0008;1;1;98;60;38;2;96;36;30m < D <= 40m;entre 60 et 90;1;0;1;0;9 X 9;4;/;2129457.587;2129471.898;-33.71790423;-22.23747509
86;94076BC0018_01_SEN_ind01.pdf;94076BC0018;1;1;99;62;37;2;97;35;30m < D <= 40m;entre 60 et 90;1;1;0;0;9 X 7;6;/;2129498.981;2129507.783;10.70916673;27.77296892
87;940760V0280_01_SEN_ind01.pdf;940760V0280;1;1;100;74;26;3;97;23;20m < D <=30m;entre 60 et 90;1;1;1;0;11 X 10;6;NULL;2129845.392;2129855.001;22.34150289;32.89355035
88;94076BC0170_01_SEN_ind01.pdf;94076BC0170;1;1;99;62;37;0;99;37;20m < D <= 30m;entre 60 et 90;0;1;1;0;11 X 8;0;/;2129492.415;2129500.978;18.29896289;28.69802945
89;94076BC0028_01_SEN_ind01.pdf;94076BC0028;1;1;99;66;33;0;99;33;30m < D <= 40m;entre 60 et 90;0;1;1;0;12 X 10;5;/;2129592.811;2129603.798;-38.1828394;-25.92448629
90;94076BC0128_01_SEN_ind01.pdf;94076BC0128;1;1;99;68;31;0;99;31;0m < D <= 10m;<30;0;1;1;0;10 X 8;8;/;2129624.872;2129635.352;-12.9835016;-4.827578893
91;940760U0032_01_SEN_ind01.pdf;940760U0032;1;1;100;70;30;4;96;26;Au dessus de l'axe;entre 60 et 90;ND9;4;0;ND12;32 X 22;14;NULL;2129686.74;2129719.929;-11.66104919;22.41609017
92;940760U0172_01_SEN_ind01.pdf;940760U0172;1;1;100;74;26;0;100;26;10m < D <= 20m;entre 60 et 90;0;1;1;0;10 X 8;6;NULL;2129768.621;2129778.465;8.731559195;17.52812439
94;94076BC0167_01_SEN_ind01.pdf;94076BC0167;1;1;99;62;37;2;97;35;0m < D <= 10m;entre 60 et 90;1;0;1;0;13 X 8;7;/;2129531.292;2129539.576;9.525370849;21.18823864
95;94076BC0165_01_SEN_ind01.pdf;94076BC0165;1;1;99;62;37;0;99;37;0m < D <= 10m;entre 60 et 90;0;1;1;0;15 X 9;9;/;2129521.636;2129532.097;5.735175298;19.27772621
96;940760U0037_01_SEN_ind01.pdf;940760U0037;1;1;100;68;32;2;98;30;30m < D <= 40m;entre 60 et 90;1;0;1;0;11 X 7;5;NULL;2129641.69;2129650.243;27.01911646;34.84184608
97;94076BC0006_01_SEN_ind01.pdf;94076BC0006;1;2;98;60;38;0;98;38;0m < D <= 10m;<30;0;0;0;0;17 X 6;4;/;2129453.804;2129461.506;-12.73279574;-8.348225267
98;940760U0156_01_SEN_ind01.pdf;940760U0156;1;1;100;74;26;1;99;25;30m < D <= 40m;<30;1;1;0;0;9 X 8;6;NULL;2129806.959;2129817.673;18.44142835;30.43788779
99;94076BC0098_01_SEN_ind01.pdf;94076BC0098;1;1;98;60;38;2;96;36;10m < D <= 20m;<30;1;0;1;0;10 X 8;5;/;2129460.487;2129470.704;14.35044008;23.89529087
100;94076BC0176_01_SEN_ind01.pdf;94076BC0176;1;1;100;66;34;2;98;32;10m < D <= 20m;entre 60 et 90;1;0;1;0;10 X 8;7;/;2129607.367;2129616.344;-10.16820864;4.347428438
101;940760V0313_02_SEN_ind01.pdf;940760V0313;2;3;100;75;25;5;95;20;20m < D <= 30m;<30;2;5;0;2;50 X 12;17;NULL;2129970.223;2129992.512;20.9427966;37.17713968
103;94028BF0158_02_SEN_ind01.pdf;94028BF0158;2;1;35;8;27;0;35;27;40m < D <= 50m;entre 60 et 90;0;0;0;0;10 X 7;8;NULL;2123938.936;2123952.214;18.42877095;32.18373171
104;94028BD0047_01_SEN_ind01.pdf;94028BD0047;1;2;35;21;14;3;32;11;30m < D <= 40m;entre 60 et 90;1;0;1;0;20 X 15;5;NULL;2123066.821;2123077.822;-35.24351643;-24.69565899
105;94028BE0188_01_SEN_ind01.pdf;94028BE0188;1;2;35;16;19;3;32;16;0m < D <= 10m;entre 60 et 90;1;13;0;2;18 X 18;40;NULL;2123415.037;2123437.119;-35.25880903;-13.14886385
106;94028BF0273_03_SEN_ind01.pdf;94028BF0273;3;1;35;11;24;1;34;23;30m < D <= 40m;entre 60 et 90;1;0;0;0;12 X 12;4;NULL;2123726.126;2123743.513;-42.25816766;-4.245466949
107;94028BF0087_01_SEN_ind01.pdf;94028BF0087;1;3;35;13;22;1;34;21;40m < D <= 50m;entre 60 et 90;1;5;0;1;90 X 80;20;NULL;2123579.02;2123635.594;-66.01144739;-39.7513538
108;94028BD0065_02_SEN_ind01.pdf;94028BD0065;2;3;35;21;14;0;35;14;30m < D <= 40m;entre 60 et 90;0;0;0;0;5 X 8;3;NULL;2123098.844;2123104.878;-30.04159257;-23.63247376
109;94028BF0159_02_SEN_ind01.pdf;94028BF0159;2;2;35;8;27;0;35;27;0m < D <= 10m;entre 60 et 90;NULL;1;0;NULL;30 X 10;10;NULL;2123922.846;2123952.146;-51.04606371;-24.77072562
110;94028BD0065_01_SEN_ind01.pdf;94028BD0065;1;2;35;21;14;3;32;11;30m < D <= 40m;entre 60 et 90;1;1;1;0;13 X 10;7;NULL;2123092.05;2123101.433;-25.92015447;-16.07033817
111;94028BF0253_01_SEN_ind01.pdf;94028BF0253;1;2;35;14;21;3;32;18;10m < D <= 20m;90;1;18;0;ND12;30 X 20;49;6;2123507.213;2123536.783;25.87645026;79.44532617
112;94028BF0258_02_SEN_ind01.pdf;94028BF0258;2;1;35;16;19;4;31;15;40m < D <= 50m;entre 60 et 90;1;0;0;0;55 X 32;4;NULL;2123470.483;2123486.517;41.29494097;56.34249217
113;94028BD0295_01_SEN_ind01.pdf;94028BD0295;1;2;35;20;15;3;32;12;40m < D <= 50m;entre 60 et 90;1;0;1;0;12 X 10;5;NULL;2123103.018;2123115.365;-39.22545648;-26.24890228
114;94028BE0534_01_SEN_ind01.pdf;94028BE0534;1;2;35;16;19;3;32;16;40m < D <= 50m;entre 60 et 90;1;11;NULL;2;40 X 35;33;NULL;2123391.148;2123423.073;-90.33021282;-39.53245601
115;94028BF0258_01_SEN_ind01.pdf;94028BF0258;1;1;35;16;19;4;31;15;40m < D <= 50m;entre 60 et 90;1;0;0;0;55 X 32;7;NULL;2123444.981;2123469.492;44.09364989;66.61095787
116;94028BD0060_01_SEN_ind01.pdf;94028BD0060;1;2;35;22;13;3;32;10;10m < D <= 20m;entre 60 et 90;1;0;1;0;18 X 10;4;NULL;2123012.854;2123022.433;21.08007482;29.52869545
