Codice Edificio;PK inizio;PK fine;Distanza minima dall'asse tracciato;Distanza massima dall'asse tracciato;Classe sensibilità;Classe di danno;Vulnerabilità;Settlement max;Tilt max;Esp h max;eps_0;Pressione al fronte;Blowup;k_peck;Classe di danno base;Vulnerabilità  base;Settlement max base;Tilt max base;Esp h max base
12;2408.197193;2541.689131;6.241535025;40.5257981;1.0;1.0;1.0;16.678684283;1.20947262386;0.349150907769;0.00531419871319;300.0;424.15;0.4259347276;1.0;1.0;16.678684283;1.20947262386;0.349150907769
13;2539.981757;2568.235467;-26.53055871;-3.874630282;1.0;1.0;1.0;15.5940234388;0.976237378661;0.483245439522;0.00447430607478;300.0;384.92;0.431392802315;1.0;1.0;15.5940234388;0.976237378661;0.483245439522
14;2540.551369;2558.447835;6.230877798;52.30833288;1.0;1.0;1.0;13.2272175567;0.915181545742;0.352506704661;0.00432722024396;300.0;382.28;0.430124963041;1.0;1.0;13.2272175567;0.915181545742;0.352506704661
15;2584.29098;2627.986927;-72.60339697;-4.031461087;1.0;1.0;1.0;14.8214904534;0.940631271343;0.443023458512;0.00441955378704;300.0;403.27;0.431929067246;1.0;1.0;14.8214904534;0.940631271343;0.443023458512
16;2569.892322;2618.385415;5.945134809;49.40284925;1.0;1.0;1.0;14.7258242929;0.992885513315;0.413929245984;0.00490888313422;300.0;399.43;0.431929067246;1.0;1.0;14.7258242929;0.992885513315;0.413929245984
17;2601.739729;2620.721105;11.67916997;25.31743467;1.0;1.0;1.0;9.18193594871;0.913447156034;0.288545525257;0.00475931399939;300.0;399.43;0.431929067246;1.0;1.0;9.18193594871;0.913447156034;0.288545525257
18;2632.10405;2647.684169;-7.314406752;7.932759571;1.0;1.0;1.0;15.7147180134;0.863737508933;0.555588599143;0.00441566077604;300.0;411.14;0.431929067246;1.0;1.0;15.7147180134;0.863737508933;0.555588599143
19;2631.825131;2651.868192;7.587559838;53.41100929;1.0;1.0;1.0;12.5782342791;0.907436812532;0.257139092139;0.00467048642891;300.0;411.14;0.431929067246;1.0;1.0;12.5782342791;0.907436812532;0.257139092139
20;2635.124457;2683.933031;-28.14762506;17.04728129;1.0;2.1;1.0;19.6807404983;1.06089499955;0.817691240884;0.00572752353069;300.0;414.22;0.431929067246;2.1;1.0;19.6807404983;1.06089499955;0.817691240884
21;2651.747567;2704.186523;-13.186064;45.48186968;1.0;1.0;1.0;16.1580045458;0.879569954935;0.71941386537;0.00465913093964;300.0;414.22;0.431929067246;1.0;1.0;16.1580045458;0.879569954935;0.71941386537
22;2652.333603;2684.950329;31.71824881;62.79450514;1.0;1.0;1.0;0.510226922693;0.103523510845;0.106926357297;0.00564628196792;300.0;414.22;0.431929067246;1.0;1.0;0.510226922693;0.103523510845;0.106926357297
23;2698.012997;2724.666089;3.763203782;57.92392817;1.0;1.0;1.0;20.6288712555;1.22510893942;0.790803145568;0.00605952954776;300.0;414.22;0.430184827607;1.0;1.0;20.6288712555;1.22510893942;0.790803145568
24;2718.079847;2753.63422;18.22228771;56.36123661;1.0;1.0;1.0;5.1367900478;0.733947310725;0.315091122517;0.00576125423797;300.0;413.59;0.425531765854;1.0;1.0;5.1367900478;0.733947310725;0.315091122517
25;2722.589491;2784.304092;-34.73250739;31.27097736;1.0;2.1;1.0;19.3435548749;1.07227816512;0.881681415179;0.00534678005688;300.0;413.59;0.425531765854;2.1;1.0;19.3435548749;1.07227816512;0.881681415179
25A;2760.103509;2790.956949;-16.02389621;21.53249196;1.0;1.0;1.0;21.9542261623;1.24861251407;0.788315060091;0.00582809065505;290.0;398.23;0.41174231893;1.0;1.0;21.9542261623;1.24861251407;0.788315060091
26;2767.483147;2787.718373;26.37274679;52.56483178;1.0;1.0;1.0;1.17507786109;0.216791939521;0.189394267343;0.00501033197166;280.0;398.23;0.405736760201;1.0;1.0;1.17507786109;0.216791939521;0.189394267343
27;2779.641401;2809.318566;5.974748709;45.23229218;1.0;1.0;1.0;14.366994262;0.957680864208;0.40316636553;0.00455730688;280.0;398.23;0.398622626386;1.0;1.0;14.366994262;0.957680864208;0.40316636553
28;2797.530408;2850.675941;-10.71323881;50.57754111;1.0;1.0;1.0;9.22531938801;0.52959549862;0.351184799364;0.00234980947732;260.0;398.23;0.383154639207;1.0;1.0;9.22531938801;0.52959549862;0.351184799364
29;2831.065797;2886.951963;8.465333836;66.87353996;1.0;1.0;1.0;2.39653854235;0.204101048223;0.0526261696181;0.000853380799267;250.0;449.78;0.363936732519;1.0;1.0;2.39653854235;0.204101048223;0.0526261696181
30;2851.480829;2874.013658;3.006989412;23.60212013;1.0;1.0;1.0;2.26206645235;0.14002079259;0.0815154127298;0.000575456119674;240.0;405.93;0.355593332361;1.0;1.0;2.26206645235;0.14002079259;0.0815154127298
31;2779.353107;2832.577377;-49.17541795;-2.920480571;1.0;1.0;1.0;17.0583399964;1.01973107759;0.560668869839;0.00463092033851;280.0;398.23;0.398622626386;1.0;1.0;17.0583399964;1.01973107759;0.560668869839
32;2818.821224;2862.323371;-30.16105699;-3.962852383;1.0;1.0;1.0;7.04225783532;0.460197898467;0.221581095253;0.00187284667134;250.0;391.06;0.375034553548;1.0;1.0;7.04225783532;0.460197898467;0.221581095253
33;2860.099735;2898.016069;-43.62212671;17.74889625;1.0;1.0;1.0;1.93379571091;0.113172879406;0.0988646404849;0.000480916909936;240.0;472.02;0.355593332361;1.0;1.0;1.93379571091;0.113172879406;0.0988646404849
34;2905.211366;2919.959167;21.92569599;33.58257741;1.0;1.0;1.0;0.192180321939;0.0280008507899;0.022695157229;0.000336902899787;240.0;484.41;0.337690569695;1.0;1.0;0.192180321939;0.0280008507899;0.022695157229
35;2912.493585;2941.646592;-45.56533224;19.94295187;1.0;1.0;1.0;1.21137123158;0.0680716218223;0.0553855191652;0.000309679632317;240.0;484.41;0.329027503319;1.0;1.0;1.21137123158;0.0680716218223;0.0553855191652
36;2939.118783;2969.1015;26.73508059;60.35878578;1.0;1.0;1.0;0.0849989960251;0.0136877172609;0.0113045911649;0.000278343254548;240.0;484.41;0.311769817109;1.0;1.0;0.0849989960251;0.0136877172609;0.0113045911649
37;2984.62478;2993.996008;11.64548931;38.65879333;1.0;1.0;1.0;0.5376331501;0.0505099920584;0.0138405024178;0.000254599330075;230.0;492.94;0.307598446896;1.0;1.0;0.5376331501;0.0505099920584;0.0138405024178
38;2946.994427;3005.902967;-55.48035158;3.823003212;1.0;1.0;1.0;1.29182330205;0.066614853317;0.0577039711885;0.000365824233268;240.0;492.94;0.311769817109;1.0;1.0;1.29182330205;0.066614853317;0.0577039711885
39;3004.589972;3018.206658;1.48715289;15.68253739;1.0;1.0;1.0;0.952351766626;0.0498759960807;0.0329063529723;0.000264019869004;230.0;492.94;0.304518286871;1.0;1.0;0.952351766626;0.0498759960807;0.0329063529723
40;3006.687846;3020.916504;-42.94438543;-1.99351405;1.0;1.0;1.0;1.01013059022;0.0529888460332;0.0363085981659;0.000285439564148;230.0;492.94;0.304518286871;1.0;1.0;1.01013059022;0.0529888460332;0.0363085981659
41;3020.819137;3056.963353;23.57189862;44.59553594;1.0;1.0;1.0;0.180476281961;0.0261964536954;0.0173068428152;0.000352727245649;230.0;492.94;0.31814210718;1.0;1.0;0.180476281961;0.0261964536954;0.0173068428152
42;3051.640462;3075.138686;-22.81216214;5.448141757;1.0;1.0;1.0;1.41133952034;0.0739079809394;0.0492040032032;0.000385747842692;230.0;490.04;0.318441760398;1.0;1.0;1.41133952034;0.0739079809394;0.0492040032032
43;3047.788025;3090.470171;1.127315572;62.00364883;1.0;1.0;1.0;1.3728445834;0.0727907986662;0.0477549808485;0.000374589888157;230.0;490.04;0.319285194458;1.0;1.0;1.3728445834;0.0727907986662;0.0477549808485
44;3067.187215;3119.948646;28.3070027;75.35319583;1.0;1.0;1.0;0.0966239886885;0.0161481501165;0.0148312607313;0.000409551334202;230.0;490.04;0.320451616955;1.0;1.0;0.0966239886885;0.0161481501165;0.0148312607313
45;3090.012303;3102.145199;26.63528468;33.89738254;1.0;1.0;1.0;0.121255754845;0.0194609706227;0.0170841627108;0.000391595227398;230.0;482.78;0.320127835066;1.0;1.0;0.121255754845;0.0194609706227;0.0170841627108
46;3092.62333;3117.977207;7.006143634;27.88339902;1.0;1.0;1.0;1.16979032776;0.0738016032001;0.0309335589563;0.000404899990022;230.0;482.78;0.320451616955;1.0;1.0;1.16979032776;0.0738016032001;0.0309335589563
47;3081.165665;3144.162388;-29.36772338;11.25774586;1.0;1.0;1.0;1.52159013992;0.0792738685824;0.0571805664773;0.000421095851892;230.0;485.91;0.320451616955;1.0;1.0;1.52159013992;0.0792738685824;0.0571805664773
48;3115.633296;3145.988397;0.157271569;62.39463531;1.0;1.0;1.0;1.49081807186;0.077986373894;0.0538034966768;0.000409413033597;220.0;477.4;0.320451616955;1.0;1.0;1.49081807186;0.077986373894;0.0538034966768
49;3133.506634;3199.482686;13.44171576;72.4214638;1.0;1.0;1.0;0.78297946075;0.0778986358345;0.0230784918277;0.000443422217233;170.0;472.21;0.320451616955;1.0;1.0;0.78297946075;0.0778986358345;0.0230784918277
50;3158.346579;3233.590996;-70.88502266;13.42271028;1.0;1.0;1.0;1.7654761207;0.0909417347571;0.0765638115131;0.000501827617047;170.0;472.21;0.321790027518;1.0;1.0;1.7654761207;0.0909417347571;0.0765638115131
51;3215.565988;3259.36259;-46.44224581;6.677724931;1.0;1.0;1.0;1.3681532926;0.078955375642;0.0611706079464;0.000347750457878;170.0;465.18;0.329312493601;1.0;1.0;1.3681532926;0.078955375642;0.0611706079464
52;3198.228968;3298.893535;-5.851306179;57.36305476;1.0;1.0;1.0;1.8263681361;0.117217139247;0.0813903115666;0.000394747356103;170.0;469.26;0.345861513018;1.0;1.0;1.8263681361;0.117217139247;0.0813903115666
53;3253.374394;3288.950578;-33.2342179;4.757091136;1.0;1.0;1.0;1.60479311301;0.100281679781;0.0704875647053;0.000358008906723;170.0;440.18;0.341716219589;1.0;1.0;1.60479311301;0.100281679781;0.0704875647053
54;3280.198855;3294.63301;0.03400766;16.76519868;1.0;1.0;1.0;1.4516485586;0.0894078459896;0.0757701820155;0.000334196521848;170.0;412.13;0.341716219589;1.0;1.0;1.4516485586;0.0894078459896;0.0757701820155
55;3269.708544;3307.247633;-53.37657246;-25.88950059;1.0;1.0;1.0;0.0748086261939;0.0140363450889;0.0121049912068;0.000332414702409;170.0;413.69;0.345861513018;1.0;1.0;0.0748086261939;0.0140363450889;0.0121049912068
56;3294.536675;3305.190227;-20.92085879;-7.224470129;1.0;1.0;1.0;1.32874921415;0.114797558219;0.038352375034;0.000411769251591;170.0;406.38;0.345861513018;1.0;1.0;1.32874921415;0.114797558219;0.038352375034
57;3305.117293;3323.762411;-32.43788088;-1.479524663;1.0;1.0;1.0;1.59394737863;0.105780285542;0.0909266946308;0.000354693531156;170.0;393.24;0.353870999134;1.0;1.0;1.59394737863;0.105780285542;0.0909266946308
57A;3315.795123;3325.504718;-2.646695305;9.788847457;1.0;1.0;1.0;1.83219197528;0.122370688443;0.0832568249087;0.000381720579215;170.0;366.4;0.353870999134;1.0;1.0;1.83219197528;0.122370688443;0.0832568249087
58;3331.087126;3346.795454;-23.91006022;-15.37274215;1.0;1.0;1.0;0.421394335266;0.0665327167692;0.0302729165574;0.000355252092544;170.0;353.5;0.353870999134;1.0;1.0;0.421394335266;0.0665327167692;0.0302729165574
59;3295.503518;3380.664484;-48.19479278;39.59514193;1.0;1.0;1.0;1.97304330782;0.12860924263;0.115899890623;0.000489924433327;170.0;410.53;0.353870999134;1.0;1.0;1.97304330782;0.12860924263;0.115899890623
59A;3303.802463;3318.361807;-10.73654253;4.428051712;1.0;1.0;1.0;1.63218142491;0.105962142681;0.08602838444;0.000351835592481;170.0;393.24;0.349927639353;1.0;1.0;1.63218142491;0.105962142681;0.08602838444
60;3349.664135;3433.519101;-8.943156118;58.60775181;1.0;1.0;1.0;1.76564590849;0.108426771168;0.0740791758195;0.000418948372344;240.0;439.23;0.356250785293;1.0;1.0;1.76564590849;0.108426771168;0.0740791758195
60A;3381.788925;3416.501215;-21.47049888;5.284138996;1.0;1.0;1.0;1.92549478538;0.120328371436;0.0876797548967;0.000448411366356;240.0;439.23;0.349089924777;1.0;1.0;1.92549478538;0.120328371436;0.0876797548967
61;3397.525251;3440.002179;-58.66481944;-13.34911099;1.0;1.0;1.0;0.755967919532;0.0914280013206;0.031969401187;0.000443602996516;240.0;439.23;0.364994181894;1.0;1.0;0.755967919532;0.0914280013206;0.031969401187
62;3441.539878;3450.4515;-26.17372091;-18.72999172;1.0;1.0;1.0;0.346910401027;0.049115043295;0.0285371024925;0.000398882936093;240.0;425.17;0.373722806876;1.0;1.0;0.346910401027;0.049115043295;0.0285371024925
63;3396.520241;3455.364023;9.829087443;61.68643374;1.0;1.0;1.0;1.08647394714;0.104148735447;0.0312287122356;0.000434941414469;240.0;439.23;0.373722806876;1.0;1.0;1.08647394714;0.104148735447;0.0312287122356
64;3463.157101;3480.25012;18.82761903;27.75013105;1.0;1.0;1.0;0.277190361515;0.0434866108391;0.0247494559257;0.000354749840119;240.0;393.64;0.373722806876;1.0;1.0;0.277190361515;0.0434866108391;0.0247494559257
65;3472.026758;3517.201931;34.83779912;60.84701157;1.0;1.0;1.0;0.012094687133;0.00276925152188;0.00388564947931;0.00032852973921;250.0;410.58;0.373722806876;1.0;1.0;0.012094687133;0.00276925152188;0.00388564947931
66;3462.774486;3522.433987;-25.44506962;16.47957728;1.0;1.0;1.0;1.74811473848;0.110642952057;0.0772378872148;0.00039370791629;250.0;410.58;0.373722806876;1.0;1.0;1.74811473848;0.110642952057;0.0772378872148
66A;3445.977137;3461.227364;-20.32285595;-9.044109812;1.0;1.0;1.0;1.01546690723;0.110912385429;0.0254437610317;0.000377675198238;240.0;425.17;0.373722806876;1.0;1.0;1.01546690723;0.110912385429;0.0254437610317
66B;3440.52179;3477.93826;-15.98435369;9.924073467;1.0;1.0;1.0;1.77661448009;0.111896180626;0.0763831044917;0.000401057879339;240.0;425.17;0.373722806876;1.0;1.0;1.77661448009;0.111896180626;0.0763831044917
66C;3473.143042;3506.740806;-3.450110542;20.60732066;1.0;1.0;1.0;1.57148843568;0.0993404835783;0.0747233101655;0.000365752365133;250.0;410.58;0.373722806876;1.0;1.0;1.57148843568;0.0993404835783;0.0747233101655
66D;3506.740806;3525.669734;14.81570296;26.4811492;1.0;1.0;1.0;0.503040694228;0.0655069314504;0.024913635238;0.000354538376412;250.0;410.58;0.371017694806;1.0;1.0;0.503040694228;0.0655069314504;0.024913635238
66E;3517.471302;3546.684788;11.77593594;28.18034069;1.0;1.0;1.0;0.765033217334;0.0880835960648;0.0235409921179;0.000390332327958;250.0;410.58;0.377462160742;1.0;1.0;0.765033217334;0.0880835960648;0.0235409921179
67;3453.550702;3516.397004;-76.09309446;-18.54299962;1.0;1.0;1.0;0.317489171871;0.0468176479647;0.0253431426051;0.000371032126012;250.0;411.98;0.373722806876;1.0;1.0;0.317489171871;0.0468176479647;0.0253431426051
68;3507.107807;3574.495745;-71.02505349;17.36485236;1.0;1.0;1.0;1.43119962432;0.0931358420492;0.0823656393168;0.000355630545917;250.0;410.58;0.38185808514;1.0;1.0;1.43119962432;0.0931358420492;0.0823656393168
69;3548.080603;3604.487643;-3.331147314;33.52828413;1.0;1.0;1.0;1.46552400771;0.0971661503458;0.0763034397996;0.000345803132275;250.0;410.58;0.38185808514;1.0;1.0;1.46552400771;0.0971661503458;0.0763034397996
70;3567.297735;3607.880917;-39.11946828;4.677503532;1.0;1.0;1.0;1.52621589436;0.100864824837;0.0761443143728;0.000326503778979;240.0;383.84;0.38185808514;1.0;1.0;1.52621589436;0.100864824837;0.0761443143728
71;3599.690308;3646.396536;18.4659096;50.30753569;1.0;1.0;1.0;0.213878351201;0.0393134701319;0.0296779265749;0.000322270254704;210.0;334.84;0.38185808514;1.0;1.0;0.213878351201;0.0393134701319;0.0296779265749
72;3611.212306;3666.697532;2.372337846;30.83414719;1.0;1.0;1.0;1.38823232858;0.0957436803366;0.0663757374869;0.000310073624189;210.0;329.5;0.381202575335;1.0;1.0;1.38823232858;0.0957436803366;0.0663757374869
73;3654.062136;3672.405572;20.09985971;43.04786308;1.0;1.0;1.0;0.13715122384;0.0265951625426;0.0238626971456;0.000282656748852;200.0;325.92;0.372690556607;1.0;1.0;0.13715122384;0.0265951625426;0.0238626971456
74;3625.682938;3698.455092;-65.33378381;-7.965301587;1.0;1.0;1.0;2.16057063472;0.268016042183;0.0908118546719;0.000696099544461;200.0;325.92;0.40425619352;1.0;1.0;2.16057063472;0.268016042183;0.0908118546719
75;3682.602476;3737.602129;-57.60367676;1.280054053;1.0;3.0;3.0;28.2147694803;2.47951393582;1.76759086095;0.00429551198118;200.0;323.59;0.43588057577;3.0;3.0;28.2147694803;2.47951393582;1.76759086095
76_1;3712.567152;3735.643006;-2.04671885;13.81328547;1.0;3.0;3.0;39.0051199203;3.4570358287;2.41656430264;0.00588823641168;190.0;304.05;0.43588057577;3.0;3.0;39.0051199203;3.4570358287;2.41656430264
76_2;3716.528488;3747.91775;-13.948892;16.80867732;1.0;3.0;3.0;41.3674862641;3.61967893696;2.65435990289;0.00660058715216;190.0;284.98;0.43588057577;3.0;3.0;44.9960015298;3.68357185516;2.68834814216
76B;3698.669067;3708.341102;6.196160261;18.53443824;1.0;1.0;1.0;2.1118092899;0.237392933298;0.0531020329613;0.000548250011648;190.0;314.87;0.40425619352;1.0;1.0;2.1118092899;0.237392933298;0.0531020329613
77;3722.905612;3765.487832;-36.01769577;-4.819236356;1.0;2.2;2.0;21.3428566579;2.40284748768;0.859856672792;0.00497197097411;190.0;284.98;0.43588057577;2.2;2.0;21.3428566579;2.40284748768;0.859856672792
78;3746.559559;3806.486263;6.966560683;47.35193385;1.0;3.0;3.0;21.1910514396;3.0182307007;0.829451754442;0.00619048489024;210.0;293.73;0.43588057577;3.0;3.0;23.1802619994;3.08385258347;0.840754413912
79;3811.466698;3837.838697;21.53682448;56.29019235;1.0;1.0;1.0;1.80282894381;0.389788355164;0.396505085762;0.00574881876921;190.0;306.41;0.430756460639;1.0;1.0;1.83813910853;0.408869531382;0.420495607971
80;3798.28975;3826.180277;-24.85967044;-6.577932113;1.0;2.1;1.0;22.7089456934;2.14359187252;0.714516379611;0.00664037265472;210.0;294.94;0.430756460639;2.2;2.0;26.4951823598;2.71979345905;0.906579746155
81;3833.703146;3861.361179;-8.136467672;10.28919758;1.0;2.2;2.0;22.5354305333;1.46850187562;1.27844183551;0.00563990966307;260.0;357.72;0.430756460639;3.0;3.0;29.5113899186;1.990527502;1.73290458496
82;3850.551303;3878.535908;-53.67183328;-24.38850962;1.0;1.0;1.0;1.81823956243;0.323829403304;0.264409506997;0.00566641434036;260.0;376.22;0.430756460639;1.0;1.0;1.81823956243;0.323829403304;0.264409506997
83;3874.709413;3903.534371;10.70136062;31.08271187;1.0;1.0;1.0;11.8862352875;1.27828669198;0.392008159202;0.00552184121978;240.0;410.24;0.429130055835;1.0;1.0;11.8862352875;1.45912402789;0.455301204299
84;3891.28269;3920.011524;-23.38389208;-3.24930821;1.0;1.0;1.0;22.4574913776;1.48530972171;0.784039413003;0.00570065752142;240.0;410.24;0.42155652275;1.0;1.0;22.4574913776;1.48530972171;0.784039413003
85;3909.931283;3947.058965;-10.42559593;44.00208576;1.0;2.1;1.0;20.7476972356;1.18946565682;0.900585430256;0.00543254675807;240.0;410.24;0.417001464799;2.1;1.0;20.7476972356;1.18946565682;0.900585430256
86;3943.780598;3955.395316;-52.23236898;-23.87304551;1.0;1.0;1.0;2.47069900132;0.384175064492;0.310349818194;0.00584464635264;240.0;410.24;0.407695339221;1.0;1.0;2.47069900132;0.384175064492;0.310349818194
87;3984.852651;4028.717221;-32.57114966;17.34874551;1.0;2.1;1.0;19.6084471879;1.11776354957;0.936405900626;0.00522049040064;250.0;423.31;0.402572195059;2.1;1.0;19.6084471879;1.11776354957;0.936405900626
88;4014.287103;4058.115097;-62.92458165;-31.02060674;1.0;1.0;1.0;0.0546870722203;0.0107660138791;0.0120433435752;0.000499630653827;250.0;423.31;0.361234049747;1.0;1.0;0.0546870722203;0.0107660138791;0.0120433435752
89;4070.37792;4095.957541;-42.49579118;-13.84791299;1.0;1.0;1.0;0.262936028483;0.0341140659947;0.0102006728873;0.000165939058891;170.0;356.43;0.301066426489;1.0;1.0;0.262936028483;0.0341140659947;0.0102006728873
93;3694.673277;3714.445259;24.19854879;46.10225252;1.0;1.0;1.0;0.0797621387681;0.023397517766;0.0334907716931;0.000939299844228;190.0;321.36;0.417225746435;1.0;1.0;0.0797621387681;0.023397517766;0.0334907716931
92;3676.621232;3697.624357;11.62910387;56.42171829;1.0;1.0;1.0;1.02135524117;0.161438195192;0.0563848099642;0.000537355890172;200.0;323.59;0.39263305543;1.0;1.0;1.02135524117;0.161438195192;0.0563848099642
91;4094.873088;4125.4025;-40.3616432;31.09707551;1.0;1.0;1.0;0.675713075186;0.0404945418201;0.0288857256585;0.000157287078479;170.0;338.97;0.301066426489;1.0;1.0;0.675713075186;0.0404945418201;0.0288857256585
90;4056.815382;4115.544225;2.840994953;49.13571603;1.0;1.0;1.0;0.722998772681;0.0445132574287;0.0350075798683;0.000182805953547;170.0;371.97;0.301066426489;1.0;1.0;0.722998772681;0.0445132574287;0.0350075798683
2;1955.365508;2006.583129;-44.92247101;-14.6994706;1.0;1.0;1.0;0.205619089199;0.0410323311892;0.0211704290529;0.000201231843624;170.0;268.64;0.34216741667;1.0;1.0;0.205619089199;0.0410323311892;0.0211704290529
